COLUMN,0
DES,R1RGSCD,IND,RUSSELL,,,,,
DES,R1RGSCS,IND,RUSSELL,,,,,
DES,R1RGSMP,IND,RUSSELL,,,,,
DES,R1RGSPD,IND,RUSSELL,,,,,
DES,R1RGSUT,IND,RUSSELL,,,,,
DES,R2RGSCD,IND,RUSSELL,,,,,
DES,R2RGSCS,IND,RUSSELL,,,,,
DES,R2RGSENG,IND,RUSSELL,,,,,
DES,R2RGSFS,IND,RUSSELL,,,,,
DES,R2RGSHC,IND,RUSSELL,,,,,
DES,R2RGSMP,IND,RUSSELL,,,,,
DES,R2RGSPD,IND,RUSSELL,,,,,
DES,R2RGSTEC,IND,RUSSELL,,,,,
DES,R2RGSUT,IND,RUSSELL,,,,,
DES,RAG,IND,RUSSELL,,,,,
DES,RAV,IND,RUSSELL,,,,,
DES,RGLVUSD,IND,RUSSELL,,,,,
DES,RLG,IND,RUSSELL,,,,,
DES,RLV,IND,RUSSELL,,,,,
DES,RSCC,IND,RUSSELL,,,,,
DES,RSCCG,IND,RUSSELL,,,,,
DES,RSCCV,IND,RUSSELL,,,,,
DES,RUA,IND,RUSSELL,,,,,
DES,RUI,IND,RUSSELL,,,,,
DES,RUJ,IND,RUSSELL,,,,,
DES,RUO,IND,RUSSELL,,,,,
DES,RUT,IND,RUSSELL,,,,,
COLUMN,1
