NOK/SEK,
NZD/CAD,
NZD/CHF,
NZD/JPY,
NZD/USD,
SGD/HKD,
SGD/JPY,
TRY/JPY,
USD/CAD,
USD/CHF,
USD/CNH,
USD/CZK,
USD/DKK,
USD/HKD,
USD/HUF,
USD/ILS,
USD/JPY,
USD/MXN,
USD/NOK,
USD/PLN,
USD/RUB,
USD/SEK,
USD/SGD,
USD/THB,
USD/TRY,
USD/ZAR,
ZAR/JPY,
