AUD/CAD,
AUD/CHF,
AUD/CNH,
AUD/JPY,
AUD/NOK,
AUD/NZD,
AUD/PLN,
AUD/SGD,
AUD/USD,
CAD/CHF,
CAD/JPY,
CAD/NOK,
CAD/PLN,
CHF/HUF,
CHF/JPY,
CHF/NOK,
CHF/PLN,
CNH/JPY,
EUR/AUD,
EUR/CAD,
EUR/CHF,
EUR/CNH,
EUR/CZK,
EUR/DKK,
EUR/GBP,
EUR/HKD,
EUR/HUF,
EUR/JPY,
EUR/MXN,
EUR/NOK,
EUR/NZD,
EUR/PLN,
EUR/RUB,
EUR/SEK,
EUR/SGD,
EUR/TRY,
EUR/USD,
EUR/ZAR,
GBP/AUD,
GBP/CAD,
GBP/CHF,
GBP/DKK,
GBP/HKD,
GBP/JPY,
GBP/MXN,
GBP/NOK,
GBP/NZD,
GBP/PLN,
GBP/SEK,
GBP/SGD,
GBP/USD,
GBP/ZAR,
HKD/JPY,
NOK/DKK,
NOK/JPY,
NOK/SEK,
NZD/CAD,
NZD/CHF,
NZD/JPY,
NZD/USD,
SGD/HKD,
SGD/JPY,
TRY/JPY,
USD/CAD,
USD/CHF,
USD/CNH,
USD/CZK,
USD/DKK,
USD/HKD,
USD/HUF,
USD/ILS,
USD/JPY,
USD/MXN,
USD/NOK,
USD/PLN,
USD/RUB,
USD/SEK,
USD/SGD,
USD/THB,
USD/TRY,
USD/ZAR,
ZAR/JPY
